EstudianteID,CohorteMes,TenureSemanas,Edad,CategoriaCurso,Modalidad,MetodoPago,HorasUsoSemana,PctTareasATiempo,PromedioNotas,ParticipacionForo,QuejasSoporte,DiasUltimaSesion,TieneBecaDescuento,CursosPreviosCompletados,Desercion,RatioForoTenure,HorasPorSemanaEfectivas,BrechaTareas,InicioReciente,SinComunidad,NotaBajoAprobatorio,NotaFaltante
2240,2026-04,5,26.0,Idiomas,Autoestudio,Tarjeta de crédito,3.5,72.6,12.7,2,0,4.0,0,0,0,0.4,2.2272727272727275,-12.599999999999994,0,0,1,0
8496,2025-01,6,25.0,Idiomas,Con mentor en vivo,Débito,9.1,66.4,15.5,5,0,6.0,0,0,0,0.8333333333333334,4.8999999999999995,-6.400000000000006,0,0,0,0
7221,2025-07,4,35.0,Idiomas,Autoestudio,Transferencia,2.1,49.5,12.8,1,0,2.0,0,1,1,0.25,1.6333333333333335,10.5,0,0,1,0
8432,2025-04,4,25.0,Finanzas,Autoestudio,Yape/Plin,6.9,77.7,13.8,3,0,5.0,0,1,0,0.75,4.0249999999999995,-17.700000000000003,0,0,0,0
4708,2025-10,5,28.0,Diseño,Autoestudio,Tarjeta de crédito,2.1,83.0,16.6,5,0,5.0,0,2,0,1.0,1.2249999999999999,-23.0,0,0,0,0
4417,2025-09,14,30.0,Idiomas,Con mentor en vivo,Tarjeta de crédito,2.8,42.0,8.8,1,0,1.0,0,0,0,0.07142857142857142,2.45,18.0,0,0,1,0
6976,2026-02,14,20.0,Marketing Digital,Autoestudio,Débito,4.2,73.8,13.8,1,0,3.0,1,1,0,0.07142857142857142,2.94,-13.799999999999997,0,0,0,0
1673,2025-05,3,19.0,Idiomas,Autoestudio,Tarjeta de crédito,3.7,79.1,14.8,1,0,3.0,0,1,0,0.3333333333333333,2.59,-19.099999999999994,1,0,0,0
8206,2025-11,15,17.0,Programación,Con mentor en vivo,Débito,2.8,40.4,9.4,2,0,0.0,1,1,0,0.13333333333333333,2.8,19.6,0,0,1,0
5020,2025-12,4,20.0,Programación,Con mentor en vivo,Transferencia,7.6,73.7,14.6,4,0,13.0,0,0,0,1.0,2.6599999999999997,-13.700000000000003,0,0,0,0
1791,2025-11,12,29.0,Programación,Autoestudio,Débito,4.5,68.1,11.8,0,1,2.0,0,1,0,0.0,3.5000000000000004,-8.099999999999994,0,1,1,0
4962,2025-10,7,18.0,Diseño,Autoestudio,Transferencia,2.2,79.9,15.7,1,0,0.0,0,1,0,0.14285714285714285,2.2,-19.900000000000006,0,0,0,0
6863,2025-04,12,25.0,Programación,Con mentor en vivo,Yape/Plin,0.7,87.4,13.4,6,1,6.0,1,1,0,0.5,0.37692307692307686,-27.400000000000006,0,0,0,0
6214,2025-06,15,26.0,Idiomas,Con mentor en vivo,Yape/Plin,1.9,8.7,8.1,1,1,3.0,0,0,0,0.06666666666666667,1.3299999999999998,51.3,0,0,1,0
