TP,FP,FN,TN,contactados,estudiantes_recuperados,ingreso_retenido,costo_operativo,beneficio_neto,roi,precision,recall,umbral
417,1195,5,339,1612,116.8,56452.29,29016.0,27436.29,0.946,0.2587,0.9882,0.01
417,1195,5,339,1612,116.8,56452.29,29016.0,27436.29,0.946,0.2587,0.9882,0.0147
417,1195,5,339,1612,116.8,56452.29,29016.0,27436.29,0.946,0.2587,0.9882,0.0194
417,1195,5,339,1612,116.8,56452.29,29016.0,27436.29,0.946,0.2587,0.9882,0.0242
414,1103,8,431,1517,115.9,56046.16,27306.0,28740.16,1.053,0.2729,0.981,0.0289
395,723,27,811,1118,110.6,53473.99,20124.0,33349.99,1.657,0.3533,0.936,0.0336
395,723,27,811,1118,110.6,53473.99,20124.0,33349.99,1.657,0.3533,0.936,0.0383
395,723,27,811,1118,110.6,53473.99,20124.0,33349.99,1.657,0.3533,0.936,0.0431
395,722,27,812,1117,110.6,53473.99,20106.0,33367.99,1.66,0.3536,0.936,0.0478
395,722,27,812,1117,110.6,53473.99,20106.0,33367.99,1.66,0.3536,0.936,0.0525
395,722,27,812,1117,110.6,53473.99,20106.0,33367.99,1.66,0.3536,0.936,0.0572
395,722,27,812,1117,110.6,53473.99,20106.0,33367.99,1.66,0.3536,0.936,0.062
395,722,27,812,1117,110.6,53473.99,20106.0,33367.99,1.66,0.3536,0.936,0.0667
395,722,27,812,1117,110.6,53473.99,20106.0,33367.99,1.66,0.3536,0.936,0.0714
378,523,44,1011,901,105.8,51172.58,16218.0,34954.58,2.155,0.4195,0.8957,0.0761
378,523,44,1011,901,105.8,51172.58,16218.0,34954.58,2.155,0.4195,0.8957,0.0809
378,523,44,1011,901,105.8,51172.58,16218.0,34954.58,2.155,0.4195,0.8957,0.0856
378,523,44,1011,901,105.8,51172.58,16218.0,34954.58,2.155,0.4195,0.8957,0.0903
378,522,44,1012,900,105.8,51172.58,16200.0,34972.58,2.159,0.42,0.8957,0.095
378,521,44,1013,899,105.8,51172.58,16182.0,34990.58,2.162,0.4205,0.8957,0.0997
377,521,45,1013,898,105.6,51037.2,16164.0,34873.2,2.157,0.4198,0.8934,0.1045
377,521,45,1013,898,105.6,51037.2,16164.0,34873.2,2.157,0.4198,0.8934,0.1092
376,514,46,1020,890,105.3,50901.83,16020.0,34881.83,2.177,0.4225,0.891,0.1139
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1186
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1234
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1281
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1328
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1375
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1423
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.147
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1517
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1564
372,484,50,1050,856,104.2,50360.32,15408.0,34952.32,2.268,0.4346,0.8815,0.1612
353,370,69,1164,723,98.8,47788.15,13014.0,34774.15,2.672,0.4882,0.8365,0.1659
353,368,69,1166,721,98.8,47788.15,12978.0,34810.15,2.682,0.4896,0.8365,0.1706
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.1753
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.1801
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.1848
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.1895
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.1942
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.1989
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2037
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2084
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2131
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2178
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2226
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2273
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.232
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2367
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2415
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2462
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2509
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2556
343,295,79,1239,638,96.0,46434.38,11484.0,34950.38,3.043,0.5376,0.8128,0.2604
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.2651
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.2698
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.2745
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.2792
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.284
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.2887
335,258,87,1276,593,93.8,45351.36,10674.0,34677.36,3.249,0.5649,0.7938,0.2934
