k,pct_base_contactada,TP,precision_en_k,recall_en_k,lift,beneficio_neto,beneficio_por_contacto
1,0.0005,1,1.0,0.0024,4.635,117.38,117.38
34,0.0174,31,0.9118,0.0735,4.226,3584.69,105.43
67,0.0343,62,0.9254,0.1469,4.289,7187.39,107.27
100,0.0511,91,0.91,0.2156,4.218,10519.33,105.19
133,0.068,116,0.8722,0.2749,4.043,13309.76,100.07
166,0.0849,139,0.8373,0.3294,3.881,15829.43,95.36
199,0.1017,158,0.794,0.3744,3.68,17807.6,89.49
232,0.1186,180,0.7759,0.4265,3.596,20191.9,87.03
266,0.136,204,0.7669,0.4834,3.555,22828.95,85.82
299,0.1529,222,0.7425,0.5261,3.441,24671.74,82.51
332,0.1697,239,0.7199,0.5664,3.337,26379.15,79.46
365,0.1866,258,0.7068,0.6114,3.276,28357.32,77.69
398,0.2035,265,0.6658,0.628,3.086,28710.96,72.14
431,0.2203,281,0.652,0.6659,3.022,30282.99,70.26
464,0.2372,297,0.6401,0.7038,2.967,31855.03,68.65
498,0.2546,308,0.6185,0.7299,2.867,32732.18,65.73
531,0.2715,317,0.597,0.7512,2.767,33356.57,62.82
564,0.2883,327,0.5798,0.7749,2.687,34116.34,60.49
597,0.3052,335,0.5611,0.7938,2.601,34605.36,57.97
630,0.3221,340,0.5397,0.8057,2.501,34688.25,55.06
663,0.339,345,0.5204,0.8175,2.412,34771.13,52.45
696,0.3558,351,0.5043,0.8318,2.338,34989.4,50.27
729,0.3727,354,0.4856,0.8389,2.251,34801.53,47.74
763,0.3901,359,0.4705,0.8507,2.181,34866.41,45.7
796,0.407,361,0.4535,0.8555,2.102,34543.17,43.4
829,0.4238,367,0.4427,0.8697,2.052,34761.43,41.93
862,0.4407,373,0.4327,0.8839,2.006,34979.7,40.58
895,0.4576,377,0.4212,0.8934,1.952,34927.2,39.02
928,0.4744,380,0.4095,0.9005,1.898,34739.34,37.43
961,0.4913,382,0.3975,0.9052,1.842,34416.09,35.81
995,0.5087,387,0.3889,0.9171,1.803,34480.98,34.65
1028,0.5256,387,0.3765,0.9171,1.745,33886.98,32.96
1061,0.5424,390,0.3676,0.9242,1.704,33699.11,31.76
1094,0.5593,394,0.3601,0.9336,1.669,33646.62,30.76
1127,0.5762,395,0.3505,0.936,1.625,33187.99,29.45
1160,0.593,396,0.3414,0.9384,1.582,32729.37,28.21
1193,0.6099,397,0.3328,0.9408,1.542,32270.75,27.05
1227,0.6273,398,0.3244,0.9431,1.503,31794.13,25.91
1260,0.6442,399,0.3167,0.9455,1.468,31335.5,24.87
1293,0.661,399,0.3086,0.9455,1.43,30741.5,23.78
1326,0.6779,401,0.3024,0.9502,1.402,30418.26,22.94
1359,0.6948,402,0.2958,0.9526,1.371,29959.63,22.05
1392,0.7117,405,0.2909,0.9597,1.349,29771.77,21.39
1425,0.7285,406,0.2849,0.9621,1.321,29313.14,20.57
1458,0.7454,409,0.2805,0.9692,1.3,29125.27,19.98
1492,0.7628,412,0.2761,0.9763,1.28,28919.41,19.38
1525,0.7797,414,0.2715,0.981,1.258,28596.16,18.75
1558,0.7965,415,0.2664,0.9834,1.235,28137.54,18.06
1591,0.8134,416,0.2615,0.9858,1.212,27678.92,17.4
1624,0.8303,417,0.2568,0.9882,1.19,27220.29,16.76
1657,0.8471,417,0.2517,0.9882,1.166,26626.29,16.07
1690,0.864,417,0.2467,0.9882,1.144,26032.29,15.4
1724,0.8814,419,0.243,0.9929,1.127,25691.05,14.9
1757,0.8983,420,0.239,0.9953,1.108,25232.42,14.36
1790,0.9151,421,0.2352,0.9976,1.09,24773.8,13.84
1823,0.932,421,0.2309,0.9976,1.07,24179.8,13.26
1856,0.9489,421,0.2268,0.9976,1.051,23585.8,12.71
1889,0.9657,422,0.2234,1.0,1.035,23127.18,12.24
1922,0.9826,422,0.2196,1.0,1.018,22533.18,11.72
1956,1.0,422,0.2157,1.0,1.0,21921.18,11.21
