efectividad,costo_contacto,umbral_optimo,contactados,beneficio_neto,roi,rentable
0.15,12.0,0.1655,723,16924.8,1.951,True
0.15,18.0,0.2482,638,13391.56,1.166,True
0.15,25.0,0.3447,446,9954.34,0.893,True
0.15,36.0,0.4964,293,5262.12,0.499,True
0.2,12.0,0.1241,856,25699.66,2.502,True
0.2,18.0,0.1861,638,21683.41,1.888,True
0.2,25.0,0.2585,638,17217.41,1.079,True
0.2,36.0,0.3723,439,11754.93,0.744,True
0.28,12.0,0.0886,901,40360.58,3.733,True
0.28,18.0,0.133,856,34952.32,2.268,True
0.28,25.0,0.1847,638,30484.38,1.911,True
0.28,36.0,0.2659,593,24003.36,1.124,True
0.35,12.0,0.0709,1117,53438.49,3.987,True
0.35,18.0,0.1064,898,47632.51,2.947,True
0.35,25.0,0.1477,856,41550.4,1.942,True
0.35,36.0,0.2127,638,35074.97,1.527,True
0.4,12.0,0.062,1117,62987.42,4.699,True
0.4,18.0,0.0931,900,56903.69,3.513,True
0.4,25.0,0.1293,856,50543.31,2.362,True
0.4,36.0,0.1861,638,43366.83,1.888,True
