variable,importancia,std
DiasUltimaSesion,0.09131287876227626,0.011361992994725739
PromedioNotas,0.05956114840136882,0.007650647075719739
Modalidad,0.051573960700217726,0.004727846327982709
HorasPorSemanaEfectivas,0.03597779786100551,0.00597930009377438
PctTareasATiempo,0.03068589003683787,0.008475984364366128
BrechaTareas,0.028637172480404184,0.007762045039629078
QuejasSoporte,0.016926564477016005,0.0037486451404969336
RatioForoTenure,0.015596116501189894,0.004013949384970657
TenureSemanas,0.012826604643404793,0.0032157591279943915
Edad,0.011830107893137976,0.006377156675315676
CursosPreviosCompletados,0.011721067675710527,0.0034516416614728306
InicioReciente,0.0031552799807498255,0.0011624035454831834
ParticipacionForo,0.0031048200906378166,0.00289132546529477
TieneBecaDescuento,0.0016311702437841636,0.001384925032451146
HorasUsoSemana,0.0008726940475982214,0.0019244068356217038
CategoriaCurso,0.0005597684538079962,0.0021900402753057963
SinComunidad,0.000522479687637012,0.0001913290462503967
NotaFaltante,9.585724176923716e-05,7.243149753742997e-05
NotaBajoAprobatorio,-0.0001288430457166423,0.0003921810833107056
MetodoPago,-0.001121579073631196,0.0013196728663704004
